Geo Point;Geo Shape;Código;Nombre;Categoria;Actividad;Dirección;Teléfono;Pagina web
4.493450918000065,-74.11407878299991;"{""coordinates"": [-74.11407878299991, 4.493450918000065], ""type"": ""Point""}";07260296;Centro Educativo Distrital Antonio José de Sucre;7;26;CL 106A SUR No.3C-12 ESTE;;http://www.sedbogota.edu.co/
4.495132559000069,-74.11996930899994;"{""coordinates"": [-74.11996930899994, 4.495132559000069], ""type"": ""Point""}";07260299;Centro Educativo Distrital Brazuelos;7;26;CL 104 SUR No. 1B-08;7671623;http://www.sedbogota.edu.co/
4.515136922000067,-74.11908567799992;"{""coordinates"": [-74.11908567799992, 4.515136922000067], ""type"": ""Point""}";07260303;Centro Educativo Distrital El Cortijo;7;26;CR 2A No. 74B BIS-00 SUR;;http://www.sedbogota.edu.co/
4.49797004800007,-74.1039545669999;"{""coordinates"": [-74.1039545669999, 4.49797004800007], ""type"": ""Point""}";07260308;Centro Educativo Distrital La Alborada;7;26;CR 5H ESTE No. 93-18 SUR;;http://www.sedbogota.edu.co/
4.498558039000045,-74.11063779599993;"{""coordinates"": [-74.11063779599993, 4.498558039000045], ""type"": ""Point""}";07260324;Centro Educativo Distrital El Virrey Última Etapa;7;26;CL 95C SUR No. 4A-10 ESTE;;http://www.sedbogota.edu.co/
4.486589090000052,-74.10064978399993;"{""coordinates"": [-74.10064978399993, 4.486589090000052], ""type"": ""Point""}";07260330;Centro Educativo Distrital Puerta al Llano;7;26;CR 7F ESTE No. 114A-60 SUR;7735522;http://www.sedbogota.edu.co/
4.576723602000072,-74.13832400199993;"{""coordinates"": [-74.13832400199993, 4.576723602000072], ""type"": ""Point""}";07260337;Colegio Distrital Ciudad de Bogotá;7;26;CR 25 No. 53B-32 SUR;;http://www.sedbogota.edu.co/
4.555352376000087,-74.1238639899999;"{""coordinates"": [-74.1238639899999, 4.555352376000087], ""type"": ""Point""}";07260341;Centro Educativo Distrital Cecilia de la Fuente Lleras;7;26;CR 8A No. 53-44 SUR;2796140;http://www.sedbogota.edu.co/
4.58312340100008,-74.13233344699995;"{""coordinates"": [-74.13233344699995, 4.58312340100008], ""type"": ""Point""}";07260343;Centro Educativo Distrital Nuestra Señora del Carmen;7;26;CL 48C SUR No. 28-44;;http://www.sedbogota.edu.co/
4.5771394560000545,-74.14027874599992;"{""coordinates"": [-74.14027874599992, 4.5771394560000545], ""type"": ""Point""}";07260344;Centro Educativo Distrital Rockefeller;7;26;CR 27 No. 55A-18 SUR;2309040;http://www.sedbogota.edu.co/
4.758032298000045,-74.05886272799995;"{""coordinates"": [-74.05886272799995, 4.758032298000045], ""type"": ""Point""}";07260668;Gimnasio Devis;7;26;Cr. 65 No. 170 90;6711342;
4.757964733000051,-74.05997667899993;"{""coordinates"": [-74.05997667899993, 4.757964733000051], ""type"": ""Point""}";07260669;Liceo La Sabana;7;26;Cr. 65 No. 170-65;6711489 / 6743779;www.liceolasabana.edu.co
4.801742730000058,-74.0445529279999;"{""coordinates"": [-74.0445529279999, 4.801742730000058], ""type"": ""Point""}";07260682;Gimnasio San Ángelo;7;26;Cll. 226 No. 53-46;6760873;
4.747987899000066,-74.07100350099995;"{""coordinates"": [-74.07100350099995, 4.747987899000066], ""type"": ""Point""}";07260699;Colegio Divino Salvador;7;26;Cr. 75 No. 162 -05;6815360 / 6815635;
4.751186026000084,-74.08441494099992;"{""coordinates"": [-74.08441494099992, 4.751186026000084], ""type"": ""Point""}";07260700;Instituto Educación y Vida;7;26;Cll. 153 No.94-50;6815248;
4.571098067000094,-74.16390691299995;"{""coordinates"": [-74.16390691299995, 4.571098067000094], ""type"": ""Point""}";07260715;Colegio Psicopedagógico Erasmo de Rotherdam;7;26;Cr. 45C No. 73B-09 Sur;;
4.562480181000069,-74.12362035299992;"{""coordinates"": [-74.12362035299992, 4.562480181000069], ""type"": ""Point""}";07260353;Centro Educativo Distrital Consuelo Sur;7;26;CL 50A SUR No. 13A-31;7697146;http://www.sedbogota.edu.co/
4.627949892000061,-74.18157377299991;"{""coordinates"": [-74.18157377299991, 4.627949892000061], ""type"": ""Point""}";07260356;Centro Educativo Distrital Brasilia - Bosa;7;26;CL 52A SUR No. 87D-45;;http://www.sedbogota.edu.co/
4.60345195900004,-74.20003102599992;"{""coordinates"": [-74.20003102599992, 4.60345195900004], ""type"": ""Point""}";07260358;Centro Educativo Distrital Llano Oriental;7;26;CL 73B SUR No. 78A BIS-15;;http://www.sedbogota.edu.co/
4.603696762000084,-74.18697785899991;"{""coordinates"": [-74.18697785899991, 4.603696762000084], ""type"": ""Point""}";07260361;Centro Educativo Distrital Pablo de Tarso;7;26;CR 78J BIS No. 65J-04 SUR;;http://www.sedbogota.edu.co/
4.601018473000067,-74.1921935869999;"{""coordinates"": [-74.1921935869999, 4.601018473000067], ""type"": ""Point""}";07260363;Centro Educativo Distrital Nueva Granada;7;26;CL 70 BIS SUR No. 77L-05;7751099;http://www.sedbogota.edu.co/
4.60174494000006,-74.16476309099994;"{""coordinates"": [-74.16476309099994, 4.60174494000006], ""type"": ""Point""}";07260371;Centro Educativo Distrital Rodrigo de Bastidas;7;26;CL 56A SUR No. 72A-54;7775240;http://www.sedbogota.edu.co/
4.614063600000065,-74.20959878499991;"{""coordinates"": [-74.20959878499991, 4.614063600000065], ""type"": ""Point""}";07260380;Centro Educativo Distrital San José;7;26;CR 80K No. 85A-33 SUR;7774692;http://www.sedbogota.edu.co/
4.6300378420000925,-74.18546563199993;"{""coordinates"": [-74.18546563199993, 4.6300378420000925], ""type"": ""Point""}";07260385;Colegio Distrital German Arciniegas;7;26;CR 88I No. 54B-44 SUR;4288997;http://www.sedbogota.edu.co/
4.617383264000068,-74.16204274799992;"{""coordinates"": [-74.16204274799992, 4.617383264000068], ""type"": ""Point""}";07260420;Centro Educativo Distrital San Rafael;7;26;CL 42B SUR No. 78I-05;;http://www.sedbogota.edu.co/
